Timestamp,car-id,car-type,gate-name
2015-05-01 00:43:28,20154301124328-262,4,entrance3
2015-05-01 01:03:48,20154301124328-262,4,general-gate1
2015-05-01 01:06:24,20154301124328-262,4,ranger-stop2
2015-05-01 01:09:25,20154301124328-262,4,ranger-stop0
2015-05-01 01:12:36,20154301124328-262,4,general-gate2
2015-05-01 01:24:02,20154301124328-262,4,general-gate5
2015-05-01 01:31:41,20153101013141-937,1,entrance3
2015-05-01 01:33:57,20154301124328-262,4,entrance4
2015-05-01 01:53:34,20153101013141-937,1,general-gate1
2015-05-01 01:56:20,20153101013141-937,1,ranger-stop2
2015-05-01 01:59:36,20153101013141-937,1,ranger-stop0
2015-05-01 02:03:01,20153101013141-937,1,general-gate2
2015-05-01 02:15:17,20153101013141-937,1,general-gate5
2015-05-01 02:25:58,20153101013141-937,1,entrance4
2015-05-01 02:52:12,20155201025212-846,4,entrance1
2015-05-01 02:53:12,20155301025312-741,4,entrance3
2015-05-01 03:01:46,20150101030146-497,3,entrance4
2015-05-01 03:05:45,20155201025212-846,4,general-gate7
2015-05-01 03:13:05,20155201025212-846,4,general-gate4
2015-05-01 03:16:55,20155301025312-741,4,general-gate1
2015-05-01 03:19:56,20155301025312-741,4,ranger-stop2
2015-05-01 03:21:55,20150101030146-497,3,entrance2
2015-05-01 03:23:26,20155301025312-741,4,ranger-stop0
2015-05-01 03:24:45,20155201025212-846,4,general-gate1
2015-05-01 03:27:08,20155301025312-741,4,general-gate2
2015-05-01 03:27:29,20155201025212-846,4,ranger-stop2
2015-05-01 03:30:40,20155201025212-846,4,ranger-stop0
2015-05-01 03:34:01,20155201025212-846,4,general-gate2
2015-05-01 03:37:00,20153701033700-323,1,entrance3
2015-05-01 03:40:19,20154001034019-109,5,entrance3
2015-05-01 03:40:27,20155301025312-741,4,general-gate5
2015-05-01 03:52:03,20155301025312-741,4,entrance4
2015-05-01 03:52:51,20153701033700-323,1,general-gate7
2015-05-01 03:54:52,20155201025212-846,4,entrance2
2015-05-01 04:02:55,20154001034019-109,5,general-gate1
2015-05-01 04:05:47,20154001034019-109,5,ranger-stop2
2015-05-01 04:06:50,20153701033700-323,1,entrance1
2015-05-01 04:09:09,20154001034019-109,5,ranger-stop0
2015-05-01 04:12:40,20154001034019-109,5,general-gate2
2015-05-01 04:25:24,20154001034019-109,5,general-gate5
2015-05-01 04:36:27,20154001034019-109,5,entrance4
2015-05-01 05:29:58,20152901052958-57,1,entrance2
2015-05-01 05:42:01,20154201054201-550,2,entrance2
2015-05-01 05:49:32,20154901054932-304,3,entrance1
2015-05-01 05:50:55,20152901052958-57,1,camping6
2015-05-01 05:55:05,20154901054932-304,3,camping2
2015-05-01 05:55:10,20154901054932-304,3,camping2
2015-05-01 05:59:25,20154201054201-550,2,entrance4
2015-05-01 06:12:13,20154901054932-304,3,general-gate7
